id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
3056927,4387496,link,https://ru.wikipedia.org/wiki/%D0%A4%D1%83%D0%BB%D1%82%D0%BE%D0%BD,,,,,,
3056928,4387496,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%81%D1%81%D1%83%D1%80%D0%B8_%28%D1%88%D1%82%D0%B0%D1%82%29,,,,,,
3056929,4387496,link,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D1%81%D1%81%D1%83%D1%80%D0%B8,,,,,,
8735888,4387496,ar,فولتون,,,,,,
8735889,4387496,fa,فولتن، میزوری,,,,,,
8735890,4387496,ka,ფულტონი,,,,,,
8735891,4387496,kk,Фултон,,,,,,
8735892,4387496,sr,Фултон,,,,,,
8735893,4387496,uk,Фултон,,,,,,
8735894,4387496,zh,富尔顿,,,,,,
11366119,4387496,ur,فلٹن، مسوری,,,,,,
12551288,4387496,,Volney,,,,,,
13116058,4387496,en,Fulton,1,,,,,
13806962,4387496,unlc,USFUT,,,,,,
15759190,4387496,wkdt,Q839802,,,,,,
16432752,4387496,de,Fulton (Missouri),,,,,,
2997159,4387990,link,https://en.wikipedia.org/wiki/Gladstone%2C_Missouri,,,,,,
3044460,4387990,ru,Гладстон,,,,,,
11593025,4387990,ar,غلادستون,,,,,,
11593026,4387990,fa,گلداستون، میزوری,,,,,,
11593027,4387990,kk,Гладстоун,,,,,,
11593028,4387990,sr,Гледстон,,,,,,
11593029,4387990,ur,گلیڈسٹون، مسوری,,,,,,
12457586,4387990,,Linden,,,,,,
12466774,4387990,,Evanston,,,,,,
12697943,4387990,,Thomas Heights,,,,,,
12951502,4387990,en,Gladstone,1,,,,,
13807252,4387990,unlc,USGDS,,,,,,
2997160,4388005,link,https://en.wikipedia.org/wiki/Glasgow_Village%2C_Missouri,,,,,,
14970198,4388005,wkdt,Q966684,,,,,,
2997166,4388036,link,https://en.wikipedia.org/wiki/Glendale%2C_Missouri,,,,,,
3044461,4388036,ru,Глендейл,,,,,,
15748137,4388036,wkdt,Q966965,,,,,,
2757183,4388460,post,64030,,,,,,
2997182,4388460,link,https://en.wikipedia.org/wiki/Grandview%2C_Missouri,,,,,,
8512919,4388460,iata,GVW,,,,,,
8512920,4388460,,Grandview,,,,,,
8512921,4388460,en,Grandview,,,,,,
13807762,4388460,unlc,USGVW,,,,,,
14978441,4388460,wkdt,Q960005,,,,,,
